Column,Data_Type,Total_Records,Non_Null_Count,Missing_Count,Missing_Percentage,Unique_Values
applicationdate,datetime64[ns],20000,20000,0,0.0,20000
age,int64,20000,20000,0,0.0,63
annualincome,int64,20000,20000,0,0.0,17516
creditscore,int64,20000,20000,0,0.0,322
employmentstatus,object,20000,20000,0,0.0,3
educationlevel,object,20000,20000,0,0.0,5
experience,int64,20000,20000,0,0.0,62
loanamount,int64,20000,20000,0,0.0,15578
loanduration,int64,20000,20000,0,0.0,10
maritalstatus,object,20000,20000,0,0.0,4
numberofdependents,int64,20000,20000,0,0.0,6
homeownershipstatus,object,20000,20000,0,0.0,4
monthlydebtpayments,int64,20000,20000,0,0.0,1299
creditcardutilizationrate,float64,20000,20000,0,0.0,20000
numberofopencreditlines,int64,20000,20000,0,0.0,14
numberofcreditinquiries,int64,20000,20000,0,0.0,8
debttoincomeratio,float64,20000,20000,0,0.0,20000
bankruptcyhistory,int64,20000,20000,0,0.0,2
loanpurpose,object,20000,20000,0,0.0,5
previousloandefaults,int64,20000,20000,0,0.0,2
paymenthistory,int64,20000,20000,0,0.0,38
lengthofcredithistory,int64,20000,20000,0,0.0,29
savingsaccountbalance,int64,20000,20000,0,0.0,9199
checkingaccountbalance,int64,20000,20000,0,0.0,5151
totalassets,int64,20000,20000,0,0.0,18814
totalliabilities,int64,20000,20000,0,0.0,17163
monthlyincome,float64,20000,20000,0,0.0,17489
utilitybillspaymenthistory,float64,20000,20000,0,0.0,20000
jobtenure,int64,20000,20000,0,0.0,17
networth,int64,20000,20000,0,0.0,17724
baseinterestrate,float64,20000,20000,0,0.0,18742
interestrate,float64,20000,20000,0,0.0,19999
monthlyloanpayment,float64,20000,20000,0,0.0,20000
totaldebttoincomeratio,float64,20000,20000,0,0.0,20000
loanapproved,int64,20000,20000,0,0.0,2
riskscore,float64,20000,20000,0,0.0,73
age_group,category,20000,20000,0,0.0,6
